Parameter,Default value,Type,Format,Context,Sub_Context,Target,Source,Unit,Description,Notes
service_provide,,str,General,,,,,XX provided,,
service_request,0,float,"#,##0.00",,,Branch of service,,XX requested,"Amount of fuel (e.g. GJ of Natural gas) or services (e.g., GJ of steam) a technology requires per unit of service provided (e.g. per GJ of heating).",Can have multiple rows with different context/sub_context values
quantity_aggregate,FALSE,bool,General,,,Branch of service,,,Quantities (direct or indirect) from the target will aggregate to the node rather than request/provide or structural parents of the target.,
competition,,str,General,"See ""Competitions"" sheet",,,,,,
is_supply,FALSE,bool,General,True / False,,,,,Indicates a node to be used on the supply side of price equilibrium calculations,
tax,0,float,"#,##0.00","Name of taxed item (e.g. fuel, GHG, product)",Type,,,$/XX provided,,Can have multiple rows with different context/sub_context values
tax_foresight,Myopic,str,General,Name of sector,,,,,"Method for considering future carbon prices (myopic, discounted, average)",Can have multiple rows with different context/sub_context values
multiplier_price,1,float,"#,##0.00",,,Branch of service,,,Markup on wholesale/production cost,Can have multiple rows with different context/sub_context values
lcc_financial,0,float,"#,##0.00",,,,,$,Financial lifecycle cost,
discount_rate_financial,0.1,float,0.00%,,,,,%,,
discount_rate_retrofit,0.1,float,0.00%,,,,,%,,
heterogeneity,10,float,"#,##0",,,,,,,Only for Compete nodes
multiplier_load_factor,1,float,"#,##0.00",,,,,,,
technology,,str,General,,,,,,,
available,2000,int,0,,,,,Year,First year a tech is available. Controls if a technology can participate in new stock competition.,
unavailable,2101,int,0,,,,,Year,First year a tech is unavailable. Controls if a technology can participate in new stock competition. Installed stock is allowed to retire naturally.,
lifetime,1,float,"#,##0.0",,,,,Years,Useful lifetime of technology.,
market_share_total,0,float,0.00%,,,,,%,Market share in year 2000.,
market_share_new_max,1,float,0.00%,,,,,%,Maximum new market share a technology can be allocated based on new stock competition.,
market_share_new_min,0,float,0.00%,,,,,%,Minimum new market share a technology must be allocated based on new stock competition.,
market_share_class,,str,General,Name of class,,,,,Group of technologies to sum across when applying new market share class limits.,
market_share_class_max,1,float,0.00%,Name of class,,,,%,Maximum new market share a technology class can be allocated based on new stock competition.,
market_share_class_min,0,float,0.00%,Name of class,,,,%,Minimum new market share a technology class must be allocated based on new stock competition.,
output,1,float,"#,##0.0",,,,,XX provided,Amount of output a technology provides in one year. Will match the unit provided by the parent node.,
fcc,0,float,"#,##0.00",,,,,$,Fixed capital cost: overnight capital cost or purchase cost in year technology becomes available in CIMS.,
capital_recovery,10,float,"#,##0.0",,,,,Years,Number of years that capital cost is amortized over.,
dcc_class,,str,General,Name of class,,,,,Group of technologies to sum across when calculating cumulative installed capacity.,
dcc_limit,0,float,0.00%,,,,,%,Limit capital costs cannot decline below as a % of overnight capital cost.,
dcc_learning_min,0,float,0.00%,,,,,%,Lowers a technology's capital cost as a function of time (not installed capacity). Accounts for cost reductions outside CAN or before a technology reaches the minimum baseline capacity to be considered commercially established.,
dcc_capacity_1,None,float,"#,##0",,,,,XX provided,"Stock level when a technology is considered ""commercially established"" in CAN (e.g., Technology Readiness Level 7). Used as the reference for capacity doubling-related cost reductions.",
dcc_capacity_2,None,float,"#,##0",,,,,XX provided,,
dcc_capacity_3,None,float,"#,##0",,,,,XX provided,,
dcc_progress_ratio_1,1,float,0.00%,,,,,%,Cost reduction associated with a doubling of cumulative installed capacity. Equal to 1-Learning Rate.,
dcc_progress_ratio_2,1,float,0.00%,,,,,%,,
dcc_progress_ratio_3,1,float,0.00%,,,,,%,,
subsidy,0,float,"#,##0.00",,,,,$,"Grants, fees, rebates, or other simple one-time costs (+) / benefits (-). Only applied to capital cost.",
fom,0,float,"#,##0.00",,,,,$,Fixed annual operating and maintenance cost.,
fic,0,float,"#,##0.00",,,,,$,"Fixed non-financial intangible cost at time of installation (only used for market competition, not financial cost of service).",
dic_class,,str,General,Name of class,,,,,Group of technologies to sum across when calculating new market share.,
dic_initial,0,float,"#,##0.00",,,,,$,"Declining non-financial intangible cost at time of installation (only used for market competition, not financial cost of service).",
dic_slope,0,float,"#,##0.0",,,,,,,
dic_x50,1,float,"#,##0.0",,,,,,,
dic_min,0.25,float,"#,##0.00",,,,,,,
DIC_rate,0,float,"#,##0.00",,,,,$,"Declining non-financial intangible cost at time of installation (only used for market competition, not financial cost of service).",
DIC_shape,0,float,"#,##0.0000",,,,,,,
retrofit_heterogeneity,10,float,"#,##0",,,,,,,Only for Tech Compete nodes
retrofit_existing_max,1,float,0.00%,,,,,%,Maximum market share of an existing technology that is allowed to retrofit.,
retrofit_existing_min,0,float,0.00%,,,,,%,Minimum market share of an existing technology that must retrofit.,
retrofit_new_max,1,float,0.00%,,,,,%,Maximum new market share a technology can be allocated based on retrofit stock competition.,
